,Rank_avg,Review,Year,Genre,Publisher,Game Title,NA_avg,EU_avg,JP_avg,Other_avg,Global_avg
204,205,91.77,2004,Action,Konami Digital Entertainment,Metal Gear Solid 3: Snake Eater,1.46,0.765,0.83,1.17,4.23
205,206,86.45,2006,Platform,Sony Computer Entertainment,Daxter,2.4050000000000002,1.0,0.0,0.735,4.145
206,207,94.75,1995,Strategy,Activision,Warcraft II: Tides of Darkness,1.7,2.27,0.0,0.23,4.21
207,208,93.0,2011,Action,Nintendo,The Legend of Zelda: Ocarina of Time,1.7399999999999998,1.03,0.595,0.255,3.615
208,209,78.73,2005,Sports,Electronic Arts,FIFA Soccer 06,0.78,2.55,0.04,0.84,4.21
209,210,77.0,2003,Misc,Sony Computer Entertainment,EyeToy Play,0.88,2.3,0.2,0.83,4.2
210,211,79.81999999999998,2007,Racing,Sony Computer Entertainment,Gran Turismo 5 Prologue,1.2650000000000001,1.81,0.57,0.52,4.16
211,212,79.20999999999998,2011,Action,Ubisoft,Assassin's Creed: Revelations,2.1550000000000002,1.44,0.035,0.41500000000000004,4.050000000000001
212,213,86.0,2009,Fighting,Capcom,Street Fighter IV,1.5350000000000001,0.815,0.36,0.41,3.12
213,214,81.0,1984,Racing,Nintendo,Excitebike,2.04,0.48,1.57,0.07,4.16
214,215,72.0,1997,Action,Hasbro Interactive,Frogger,3.79,0.27,0.0,0.11,4.16
215,216,87.0,2002,Sports,Electronic Arts,Madden NFL 2003,3.36,0.21,0.01,0.56,4.14
216,217,94.02,1997,Shooter,Vivendi Games,Half-Life,4.03,0.0,0.09,0.0,4.12
217,218,91.0,1995,Platform,Nintendo,Super Mario World 2: Yoshi's Island,1.65,0.61,1.76,0.09,4.12
218,219,93.25,2011,Action,Nintendo,The Legend of Zelda: Skyward Sword,1.995,1.145,0.365,0.365,3.8649999999999998
219,220,86.0,1992,Fighting,Capcom,Street Fighter II Turbo,1.42,0.51,2.1,0.07,4.1
220,221,59.23,2007,Misc,Take-Two Interactive,Carnival Games,2.08,1.46,0.05,0.415,4.01
